trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",20,0,-21.34278573120178,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.9801}",35,23,-52.1014295158366,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.99, 'e': 0.970299}",20,0,-164.24667518098425,"{0: 8, 1: 0, 2: 9, 3: 2, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",35,0,-144.75058329558428,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",25,0,-178.01781902412128,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
6,False,"{'a': 0.99, 'e': 0.941480149401}",25,0,-77.65861982649871,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-48.205699254170256,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",20,0,-173.523526851631,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",35,0,-131.02345889256475,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",20,0,-43.87619712998001,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",20,0,-128.6944678665849,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",25,0,-108.82532496515272,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-86.06567084974664,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",20,0,-57.8290753382565,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",35,0,-97.56712844470627,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",20,9,-47.617617532914245,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",25,19,7.382228073903206,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",25,0,-45.3220782979191,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",25,0,-137.73214827198038,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",20,0,-48.11561459627067,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",20,0,-57.20397498982212,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",20,4,-66.86455235071936,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",25,0,-141.04440142021693,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",20,0,-143.40666022201844,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",20,12,-20.10588513898312,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",20,0,-16.82299022186465,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",25,0,-93.13244566178466,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.99, 'e': 0.7547192872036326}",20,0,-89.91466376724782,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,0,-50.59434895776833,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.99, 'e': 0.7397003733882802}",25,0,-109.27626164515581,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
31,False,"{'a': 0.99, 'e': 0.7323033696543975}",20,16,7.122742017470594,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.99, 'e': 0.7249803359578534}",20,0,-25.85764222262788,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.99, 'e': 0.7177305325982749}",25,0,-3.674585877932622,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.99, 'e': 0.7105532272722921}",20,0,-156.6246800866381,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
35,False,"{'a': 0.99, 'e': 0.7034476949995692}",30,0,-87.53015431341557,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.99, 'e': 0.6964132180495735}",20,8,-81.54277443833335,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
37,False,"{'a': 0.99, 'e': 0.6894490858690777}",20,6,-44.91068403323345,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.99, 'e': 0.682554595010387}",30,4,-102.28965586807205,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 1}",1
39,False,"{'a': 0.99, 'e': 0.6757290490602831}",20,0,-78.84992526252435,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
40,False,"{'a': 0.99, 'e': 0.6689717585696803}",25,0,-52.763250283542845,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.99, 'e': 0.6622820409839835}",25,0,-94.0846820102864,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",20,8,-37.686115666681495,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",25,0,-147.56469200299946,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
