trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.37485418291777,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.3746315815768,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,19,9.244186187425123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.11905620750971,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.9835536084646,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-243.04426541860056,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.3282028857211,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.29877204753778,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.40829280554199,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-93.07150618067946,"{0: 24, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.77185344417438,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.67535902165844,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.7792811724063,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.43625795638877,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.72857312717392,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.63363159455872,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-108.58580399247563,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.50771827033603,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.10334558128724,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,14,-52.82653860627318,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.87065145219933,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-170.44293897009402,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.74267968683019,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.85761377233311,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-83.004136378063,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.73247323493447,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-107.27030322422006,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.3864758546326,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-255.54371740133232,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-282.90651222241894,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 6}",0
